gate,figure,status,current_value,ncs_threshold,required_action,claim_level
G0 provenance/leakage,Figure 2 + Figure 3,YELLOW,duplicate_hash=209; strain_monotonicity_fail=38; figure3_visual_guardrail=True,No config/latent leakage across splits; no truth-derived posterior; visual data plots from real data tables.,Quarantine duplicate-hash and monotonicity-fail cases; add config_id split audit for all learning curves.,Simulation scaffold until split audit is attached.
G1 simulator support,Figure 2,MISSING,real MMP phantom/animal/ex vivo anchors not found,>=90% real/phantom readouts within 95% synthetic support envelope.,Ingest >=20 physical MMP phantom anchors plus all available animal/ex vivo readouts; compute kNN/Mahalanobis/MMD support.,Cannot claim strong sim-to-real domain randomization yet.
G1 simulator support,Figure 3,MISSING,no real MMP support-envelope table found for 3D posterior readouts,>=90% real/phantom 3D readouts within 95% synthetic readout manifold.,Create support_coverage_real_mmp.csv using readout embeddings and matched 3D simulator features.,Simulation benchmark can remain; real-transfer claim must wait.
G2 learning plateau,Figure 2,MISSING,no fig2_metrics_by_N.csv / fitted N90 table found,Last-doubling improvement <3-5%; N90/N95/AULC reported across >=3 seeds.,"Run N grid for 2D reconstruction: 50,100,200,500,1k,2k,5k,10k with config-level splits.","Full-data benchmark only, not data-efficiency claim."
G2 learning plateau,Figure 3,MISSING,no fig3_metrics_by_N.csv / fitted N90 table found,Last-doubling improvement <3-5%; N90/N95/AULC reported across >=3 seeds.,"Run N grid for 3D posterior: 100,250,500,1k,1.6k current, then 3k/5k if plateau is not reached.","Posterior benchmark only, not data-efficiency claim."
G3 method-level data efficiency,Figure 2 + Figure 3,MISSING,DER_MAE / DER_CRPS not estimable without N90 curves,DER >=2 versus strongest baseline or clearly better CRPS/calibration/failure at same N.,"Fit learning curves for U-Net, vanilla diffusion, DPS/kernel GP, and op-conditioned diffusion.",Do not say 'twofold fewer simulations' yet.
G4 Figure 2 reconstruction,Figure 2,YELLOW,MAE=1.728 kPa; SSIM=0.899; Dice=0.974,MAE/SSIM/Boundary-F1 plateau; uncertainty rejection reduces MAE/CRPS >=25%; posterior maps exported.,Export case-level final posterior mean/std maps and add uncertainty-risk curve.,Reconstruction evidence is strong but not a complete data-efficiency package.
G5 Figure 3 posterior,Figure 3,PASS,MMP: MAE=0.201mm Cov90=0.936 IoU=0.851; PIEZO: MAE=0.612mm Cov90=0.906 IoU=0.642; US: MAE=0.220mm Cov90=0.938 IoU=0.841,"In-support z_bottom MAE <=0.5-0.75mm, interval IoU >=0.55-0.60, calibrated posterior.",Keep as simulation posterior benchmark; attach learning curves and support coverage for main data-efficiency claim.,Passes simulation benchmark; not sufficient alone for NCS data-efficiency claim.
G6 calibration/sharpness,Figure 3,PASS,"MMP: Cov90=0.936, Width90=0.900mm; PIEZO: Cov90=0.906, Width90=2.078mm; US: Cov90=0.938, Width90=0.931mm",|Cov90-0.90| <=0.03 ID or <=0.05 hard/OOD; width not inflated.,"If any operator exceeds tolerance, calibrate intervals on validation split and report pre/post calibration.",Use exact operator-specific language.
G7 OOD/failure utility,Figure 3,PASS,MMP: AUROC_fail_1mm=1.000; PIEZO: AUROC_fail_1mm=0.812; US: AUROC_fail_1mm=0.995,AUROC_fail >=0.75-0.80; risk at retained 80% improves; AUSE improves >=15-20%.,Add failure prevalence/AUPRC and retained-risk curves by depth/OOD group.,May support failure-screening claim if prevalence diagnostics are attached.
G8 projection consistency,Figure 2 + Figure 3,MISSING,"projection arrays exist, but no projection_consistency_metrics.csv found","NMAE(Eapp2D, Pz[E3D]) <=0.10-0.15; SSIM >=0.80-0.85; centroid shift <=0.5-1.0mm.",Compute paired 2D/3D projection QC before merging Figure 2 and Figure 3 story.,Do not merge as a single posterior framework until this gate is measured.
