pdf_page,n_chars,text_preview
32,1256,Methods 里 写 ： We instantiate the framework using a conditional diffusion posterior sampler and evaluate a geometry-to-mechanics flow/interpolant variant as an alternative generative path. 只 有 当你 真 的 实现 的 path ， 才 在主文 中 使 用 ： flow matching s
33,1773,ChatGPT gpt-5-5-pro 下面是 一 份 可以 直 接 交给 Codex 执 行 的 任 务 书 。 目标 不是 “ 做 一 个好看 的 模 型比 较 ” ， 而 是 把 你 的 论文 核 心 claim 变 成可 复 现 、 可 审 稿 的 计 算 实 验 ： 让 生物力学 传感 器 拥 有 来自 真 实 皮 肤 病 图 像 分 布 的 几 何记 忆 ， 并 通过 独 立 的 物理 随 机化和 硬 件 forward operator 转 化为 posteri
34,1130,每 个 样 本 至 少应 能 得 到 ： 如果 mask 不 存 在 ， Codex 需 要 从 modulus field 自动推 断 lesion support ： 需 要提 供配 置 项 ： text data/ raw/ sim2d/ *.npy / *.npz / *.h5 / *.tif sim3d/ *.npy / *.npz / *.h5 / *.nii.gz metadata/ *.csv / *.json masks_optional/ *.npy / 
35,828,"2. 项 目目 录 结 构 生成如下工 程结 构 ： mask_extraction: method: ""otsu|kmeans|relative_threshold|provided"" relative_threshold: 0.15 min_component_area: 50 keep_largest_component: true text project/ configs/ data.yaml experiments.yaml models.yaml figures"
36,844,3. 数 据 manifest 实现 scripts/00_build_manifest.py ， 输 出 ： 字 段 ： evaluation/ metrics_geometry.py metrics_mechanics.py metrics_probabilistic.py metrics_ood.py independence_tests.py report_tables.py visualization/ figure_geometry_memory.py figur
37,580,如果 metadata 缺 失 ， 允 许 字 段 为 空 ， 但必 须 在 report 中 记 录 。 输 出 ： 包 括 ： 2D 样 本数 量 ； 3D 样 本数 量 ； 有 mask 的 比 例； 有 readout 的 比 例； 有 depth metadata 的 比 例； modulus range ； background modulus distribution ； lesion modulus distribution ； depth / thickne
38,853,4.1 核 心生成 模 型 在 代码 和报告 中 固 定如下 概 念 ： 其 中： ： geometry-only memory ， 来自 clinical lesion masks 或已 模 拟 的 lesion support ； ： 独 立 随 机化 的 physical variables ； ： 2D modulus map 或 3D modulus volume ； ： 传感 器 forward operator ； ： operator metadata ； ：
39,677,heterogeneity noise parameter 输 出 ： 局 部 异 质 性 只 能在 lesion 内部 或 背 景 中 作为 随 机 场 加入 ： 但 其 幅 度与 geometry descriptors 独 立 。 4.3 3D 解 耦 数 据 生成 实现 ： 如果 已 有 3D mask ： 如果 只 有 2D geometry ， 需 要 extrude ： depth variables 独 立 采 样 ： 实现 至 少 三 种 depth pro
40,675,4.4 解 耦 验 证 实现 ： 对 每 个 dataset split 计 算 ： 1. geometry descriptors vs depth: Pearson / Spearman correlation mutual information random forest depth-bin classifier accuracy 2. geometry descriptors vs stiffness: random forest stiffness-bin cla
41,964,报告 中 必 须 有一 句 ： Geometry memory is statistically decoupled from randomized mechanical variables; depth and stiffness cannot be inferred from geometry alone. 如果不 满 足 ， 标记 为 失 败 。 5. Geometry prior 设计 实现三类 geometry prior ： G0 ： non-clinical G
42,692,训练 VAE / diffusion / shape autoencoder 只 生成 binary masks 或 signed distance functions 。 注 意 ： 这不是 mechanics model ， 只 是 geometry generator 。 6. Geometry descriptor extraction 实现 ： 2D descriptors 每 个 mask 输 出 ： 3D descriptors python source_ge
43,566,输 出 ： 7. Distribution matching ： 证 明 clinical memory 是 几 何 分 布 实现 ： 比 较 ： 指 标 ： 输 出 ： flatness compactness_3d z_extent x_extent y_extent surface_roughness centroid_z text results/tables/geometry_descriptors_2d.csv results/tables/geometry_de
44,633,UMAP / PCA 只 用于可视化 ， 不作为主定 量证 据 。 8. 数 据 拆 分 实现 ： 必 须 支持四 类 split 。 Split A ： random split 普 通 训练 / 验 证 / 测 试 。 Split B ： geometry-held-out split 按 geometry_id 拆 分 。 测 试 集 geometry 不 允 许 出现在 训练 中。 Split C ： depth-held-out split 按 depth grou
45,643,"Split D ： combined OOD split 测 试 集 同时 包 括 ： 输 出 ： 必 须检 查 ： 9. Diffusion model 分 支 实现 ： 9.1 模 型 定 义 如果 目标 是 2D ： depth_bins: [0, 1, 2, 3, 5] heldout_bins: [""2-3"", ""3-5""] text held-out geometry held-out depth held-out stiffness contrast opera"
46,735,"如果 目标 是 3D ： 保 留 Gaussian noising ： 网 络 预测 ： 通过 config 控 制 ： 9.2 Diffusion ablation 训练 以下 模 型 ： python target x = E3d condition c = {readout, operator_id, operator_metadata, geometry_mask / 2D mask / geometry_embedding} x =t α x +t 0 σ ϵ, ϵ"
47,941,D2_geometry_only 非 常重 要 。 如果 它 能 很 好 预测 stiffness/depth ， 说明数 据 泄 漏 或解 耦 失 败 。 10. Flow / bridge / stochastic interpolant 分 支 实现为 optional ， 不 允 许 默 认 宣 传 为主 模 型 。 10.1 只 有 满 足 以下 条件才 启 用主实 验 必 须 能 构造 endpoint pair ： 其 中： u 是 geometry-only 
